alt event	gene name	gene type	event type	overlaps with	overlap gene	P val up	P val down	min p val	rank up	rank down	min rank	Q val up	Q val down	min Q val
alt_region_33700	AT3G30214	pseudogenic_transcript	alt_3prime	None	None	0.857989	1	0.857989	10129	15386	10129	1	1	1
alt_region_33701	AT3G30214	pseudogenic_transcript	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33702	AT3G30214	pseudogenic_transcript	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33703	AT3G30214	pseudogenic_transcript	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33704	AT3G30214	pseudogenic_transcript	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33705	AT3G30214	pseudogenic_transcript	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33706	AT3G30300	mRNA	alt_3prime	None	None	0.120457	1	0.120457	3714	15386	3714	0.610316	1	0.610316
alt_region_33707	AT3G30390	mRNA	alt_3prime	None	None	1	0.071274	0.071274	11455	3553	3553	1	0.444362	0.444362
alt_region_33708	AT3G30390	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33709	AT3G30390	mRNA	alt_3prime	None	None	1	0.264866	0.264866	11455	6632	6632	1	0.936796	0.936796
alt_region_3371	AT2G31370	mRNA	intron_ret	None	None	1	0.000013	0.000013	11455	304	304	1	0.000663	0.000663
alt_region_33710	AT3G30390	mRNA	alt_3prime	None	None	1	0.1624	0.1624	11455	5178	5178	1	0.722646	0.722646
alt_region_33711	AT3G30390	mRNA	alt_3prime	None	None	1	0.910399	0.910399	11455	14370	11455	1	1	1
alt_region_33712	AT3G30390	mRNA	alt_3prime	None	None	1	0.044077	0.044077	11455	2917	2917	1	0.324428	0.324428
alt_region_33713	AT3G30390	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33714	AT3G30390	mRNA	alt_3prime	None	None	1	0.042968	0.042968	11455	2885	2885	1	0.31881	0.31881
alt_region_33715	AT3G30390	mRNA	alt_3prime	None	None	0.183688	1	0.183688	4341	15386	4341	0.775337	1	0.775337
alt_region_33716	AT3G30775	mRNA	alt_3prime	None	None	1	0.197009	0.197009	11455	5700	5700	1	0.80223	0.80223
alt_region_33717	AT3G30775	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33718	AT3G30775	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33719	AT3G30875	pseudogenic_transcript	alt_3prime	transposon_fragment	AT3TE52035	1	1	1	11455	15386	11455	1	1	1
alt_region_3372	AT2G31560	mRNA	intron_ret	None	None	1	0.077428	0.077428	11455	3682	3682	1	0.466739	0.466739
alt_region_33720	AT3G32940	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33721	AT3G32940	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33722	AT3G32940	mRNA	alt_3prime	None	None	0.917401	1	0.917401	10713	15386	10713	1	1	1
alt_region_33723	AT3G32980	mRNA	alt_3prime	None	None	1	0.000096	0.000096	11455	499	499	1	0.003319	0.003319
alt_region_33724	AT3G33528	mRNA	alt_3prime	transposon_fragment	AT3TE57720	1	1	1	11455	15386	11455	1	1	1
alt_region_33725	AT3G42050	mRNA	alt_3prime	None	None	0.000589	1	0.000589	974	15386	974	0.013989	1	0.013989
alt_region_33726	AT3G42050	mRNA	alt_3prime	None	None	1	0.149954	0.149954	11455	4996	4996	1	0.689925	0.689925
alt_region_33727	AT3G42050	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33728	AT3G42180	mRNA	alt_3prime	transposon_fragment	AT3TE58860:AT3TE58865:AT3TE58870	1	1	1	11455	15386	11455	1	1	1
alt_region_33729	AT3G42670	mRNA	alt_3prime	None	None	1	0.184843	0.184843	11455	5506	5506	1	0.777818	0.777818
