alt event	gene name	gene type	event type	overlaps with	overlap gene	P val up	P val down	min p val	rank up	rank down	min rank	Q val up	Q val down	min Q val
alt_region_1	AT1G01040	mRNA	intron_ret	miRNA	AT1G01046	1	0.478229	0.478229	11455	9246	9246	1	1	1
alt_region_10	AT1G01290	mRNA	intron_ret	None	None	1	0.101389	0.101389	11455	4159	4159	1	0.548405	0.548405
alt_region_100	AT1G04080	mRNA	intron_ret	None	None	1	0.209259	0.209259	11455	5870	5870	1	0.828707	0.828707
alt_region_1000	AT1G63730	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10000	AT5G62480	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10001	AT5G63020	mRNA	intron_ret	None	None	1	0.922677	0.922677	11455	14532	11455	1	1	1
alt_region_10002	AT5G63120	mRNA	intron_ret	None	None	0.5859	1	0.5859	7730	15386	7730	1	1	1
alt_region_10003	AT5G63220	mRNA	intron_ret	None	None	0.000191	1	0.000191	790	15386	790	0.005665	1	0.005665
alt_region_10004	AT5G63220	mRNA	intron_ret	None	None	0.005902	1	0.005902	1644	15386	1644	0.078588	1	0.078588
alt_region_10005	AT5G63320	mRNA	intron_ret	mRNA	AT5G63340	1	0.979097	0.979097	11455	15137	11455	1	1	1
alt_region_10006	AT5G63370	mRNA	intron_ret	None	None	1	0.614085	0.614085	11455	10783	10783	1	1	1
alt_region_10007	AT5G63370	mRNA	intron_ret	None	None	1	0.553327	0.553327	11455	10146	10146	1	1	1
alt_region_10008	AT5G63370	mRNA	intron_ret	None	None	1	0.752555	0.752555	11455	12414	11455	1	1	1
alt_region_10009	AT5G63370	mRNA	intron_ret	None	None	1	0.735277	0.735277	11455	12208	11455	1	1	1
alt_region_1001	AT1G63740	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10010	AT5G63370	mRNA	intron_ret	None	None	1	0.784307	0.784307	11455	12834	11455	1	1	1
alt_region_10011	AT5G63370	mRNA	intron_ret	None	None	1	0.735611	0.735611	11455	12213	11455	1	1	1
alt_region_10012	AT5G63370	mRNA	intron_ret	None	None	1	0.667528	0.667528	11455	11455	11455	1	1	1
alt_region_10013	AT5G63370	mRNA	intron_ret	None	None	0.198377	1	0.198377	4500	15386	4500	0.804837	1	0.804837
alt_region_10014	AT5G63370	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10015	AT5G63370	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10016	AT5G63370	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10017	AT5G63370	mRNA	intron_ret	None	None	1	0.048152	0.048152	11455	3029	3029	1	0.343514	0.343514
alt_region_10018	AT5G63370	mRNA	intron_ret	None	None	1	0.048163	0.048163	11455	3030	3030	1	0.343526	0.343526
alt_region_10019	AT5G63370	mRNA	intron_ret	None	None	1	0.311409	0.311409	11455	7256	7256	1	1	1
alt_region_1002	AT1G63750	mRNA	intron_ret	transposon_fragment	AT1TE77880	0.53804	1	0.53804	7345	15386	7345	1	1	1
alt_region_10020	AT5G63370	mRNA	intron_ret	None	None	1	0.484114	0.484114	11455	9348	9348	1	1	1
alt_region_10021	AT5G63370	mRNA	intron_ret	None	None	1	0.131342	0.131342	11455	4692	4692	1	0.639464	0.639464
alt_region_10022	AT5G63370	mRNA	intron_ret	None	None	1	0.12572	0.12572	11455	4579	4579	1	0.625337	0.625337
alt_region_10023	AT5G63460	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10024	AT5G63460	mRNA	intron_ret	None	None	0.723826	1	0.723826	8900	15386	8900	1	1	1
alt_region_10025	AT5G63460	mRNA	intron_ret	None	None	0.732736	1	0.732736	8974	15386	8974	1	1	1
alt_region_10026	AT5G63610	mRNA	intron_ret	None	None	1	0.387425	0.387425	11455	8199	8199	1	1	1
alt_region_10027	AT5G63630	mRNA	intron_ret	None	None	1	0.026395	0.026395	11455	2407	2407	1	0.228764	0.228764
alt_region_10028	AT5G63760	mRNA	intron_ret	None	None	1	0.041257	0.041257	11455	2837	2837	1	0.310727	0.310727
alt_region_10029	AT5G63760	mRNA	intron_ret	None	None	1	0.101199	0.101199	11455	4155	4155	1	0.547723	0.547723
alt_region_1003	AT1G63750	mRNA	intron_ret	transposon_fragment	AT1TE77880	0.632913	1	0.632913	8147	15386	8147	1	1	1
alt_region_10030	AT5G63760	mRNA	intron_ret	None	None	1	0.030184	0.030184	11455	2529	2529	1	0.250925	0.250925
alt_region_10031	AT5G63760	mRNA	intron_ret	None	None	1	0.107473	0.107473	11455	4277	4277	1	0.568408	0.568408
alt_region_10032	AT5G63760	mRNA	intron_ret	None	None	1	0.792122	0.792122	11455	12917	11455	1	1	1
alt_region_10033	AT5G63830	mRNA	intron_ret	None	None	1	0.412058	0.412058	11455	8521	8521	1	1	1
alt_region_10034	AT5G63870	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10035	AT5G63870	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10036	AT5G63870	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10037	AT5G63970	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10038	AT5G64170	mRNA	intron_ret	None	None	1	0.10986	0.10986	11455	4312	4312	1	0.576217	0.576217
alt_region_10039	AT5G64200	mRNA	intron_ret	mRNA	AT5G64190	1	0.000056	0.000056	11455	433	433	1	0.002167	0.002167
alt_region_1004	AT1G63850	mRNA	intron_ret	None	None	0.000001	1	0.000001	1	15386	1	0.000077	1	0.000077
alt_region_10040	AT5G64200	mRNA	intron_ret	mRNA	AT5G64190	1	0.000011	0.000011	11455	288	288	1	0.000583	0.000583
alt_region_10041	AT5G64200	mRNA	intron_ret	mRNA	AT5G64190	1	0.000005	0.000005	11455	256	256	1	0.0003	0.0003
alt_region_10042	AT5G64250	mRNA	intron_ret	None	None	0.65191	1	0.65191	8299	15386	8299	1	1	1
alt_region_10043	AT5G64250	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10044	AT5G64250	mRNA	intron_ret	None	None	1	0.874102	0.874102	11455	13929	11455	1	1	1
alt_region_10045	AT5G64340	mRNA	intron_ret	mRNA	AT5G64330	1	0.768553	0.768553	11455	12664	11455	1	1	1
alt_region_10046	AT5G64360	mRNA	intron_ret	None	None	1	0.002706	0.002706	11455	1133	1133	1	0.044982	0.044982
alt_region_10047	AT5G64360	mRNA	intron_ret	None	None	1	0.0038	0.0038	11455	1264	1264	1	0.057669	0.057669
alt_region_10048	AT5G64360	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10049	AT5G64360	mRNA	intron_ret	None	None	1	0.012498	0.012498	11455	1832	1832	1	0.137365	0.137365
alt_region_1005	AT1G63850	mRNA	intron_ret	None	None	0.000003	1	0.000003	373	15386	373	0.000197	1	0.000197
alt_region_10050	AT5G64360	mRNA	intron_ret	None	None	1	0.001753	0.001753	11455	993	993	1	0.032733	0.032733
alt_region_10051	AT5G64360	mRNA	intron_ret	None	None	1	0.000474	0.000474	11455	739	739	1	0.011784	0.011784
alt_region_10052	AT5G64360	mRNA	intron_ret	None	None	1	0.015702	0.015702	11455	1993	1993	1	0.160072	0.160072
alt_region_10053	AT5G64360	mRNA	intron_ret	None	None	1	0.024281	0.024281	11455	2340	2340	1	0.215588	0.215588
alt_region_10054	AT5G64460	mRNA	intron_ret	None	None	1	0.001977	0.001977	11455	1028	1028	1	0.035789	0.035789
alt_region_10055	AT5G64490	mRNA	intron_ret	None	None	0.703471	1	0.703471	8743	15386	8743	1	1	1
alt_region_10056	AT5G64560	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10057	AT5G64570	mRNA	intron_ret	ncRNA	AT5G64572	1	1	1	11455	15386	11455	1	1	1
alt_region_10058	AT5G64685	mRNA	intron_ret	mRNA:transposon_fragment	AT5G64680:AT5TE93050:AT5TE93055	1	0.542387	0.542387	11455	10018	10018	1	1	1
alt_region_10059	AT5G64840	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_1006	AT1G63940	mRNA	intron_ret	None	None	1	0.190731	0.190731	11455	5602	5602	1	0.789861	0.789861
alt_region_10060	AT5G64980	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10061	AT5G65110	mRNA	intron_ret	None	None	1	0.192162	0.192162	11455	5626	5626	1	0.792938	0.792938
alt_region_10062	AT5G65300	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10063	AT5G65380	mRNA	intron_ret	None	None	1	0.920013	0.920013	11455	14501	11455	1	1	1
alt_region_10064	AT5G65380	mRNA	intron_ret	None	None	1	0.750246	0.750246	11455	12382	11455	1	1	1
alt_region_10065	AT5G65430	mRNA	intron_ret	None	None	0.592779	1	0.592779	7777	15386	7777	1	1	1
alt_region_10066	AT5G65430	mRNA	intron_ret	None	None	0.466534	1	0.466534	6740	15386	6740	1	1	1
alt_region_10067	AT5G65430	mRNA	intron_ret	None	None	0.364204	1	0.364204	5900	15386	5900	1	1	1
alt_region_10068	AT5G65460	mRNA	intron_ret	None	None	0.000001	1	0.000001	1	15386	1	0.000077	1	0.000077
alt_region_10069	AT5G65460	mRNA	intron_ret	None	None	0.000859	1	0.000859	1054	15386	1054	0.018753	1	0.018753
alt_region_1007	AT1G63940	mRNA	intron_ret	None	None	0.000001	1	0.000001	1	15386	1	0.000077	1	0.000077
alt_region_10070	AT5G65460	mRNA	intron_ret	None	None	0.000528	1	0.000528	954	15386	954	0.012826	1	0.012826
alt_region_10071	AT5G65460	mRNA	intron_ret	None	None	0.000001	1	0.000001	1	15386	1	0.000077	1	0.000077
alt_region_10072	AT5G65685	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10073	AT5G65685	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10074	AT5G65740	mRNA	intron_ret	None	None	1	0.09119	0.09119	11455	3983	3983	1	0.512956	0.512956
alt_region_10075	AT5G65740	mRNA	intron_ret	None	None	1	0.250236	0.250236	11455	6450	6450	1	0.908609	0.908609
alt_region_10076	AT5G65740	mRNA	intron_ret	None	None	0.327044	1	0.327044	5606	15386	5606	1	1	1
alt_region_10077	AT5G65740	mRNA	intron_ret	None	None	1	0.007495	0.007495	11455	1584	1584	1	0.094321	0.094321
alt_region_10078	AT5G65740	mRNA	intron_ret	None	None	1	0.286854	0.286854	11455	6908	6908	1	0.976202	0.976202
alt_region_10079	AT5G65740	mRNA	intron_ret	None	None	1	0.640762	0.640762	11455	11144	11144	1	1	1
alt_region_1008	AT1G63940	mRNA	intron_ret	None	None	0.015047	1	0.015047	2057	15386	2057	0.155302	1	0.155302
alt_region_10080	AT5G65740	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10081	AT5G65920	mRNA	intron_ret	None	None	1	0.884438	0.884438	11455	14045	11455	1	1	1
alt_region_10082	AT5G65920	mRNA	intron_ret	None	None	0.864656	1	0.864656	10187	15386	10187	1	1	1
alt_region_10083	AT5G65940	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10084	AT5G65940	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10085	AT5G65970	mRNA	intron_ret	None	None	0.528555	1	0.528555	7266	15386	7266	1	1	1
alt_region_10086	AT5G65970	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10087	AT5G65970	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10088	AT5G66005	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10089	AT5G66005	mRNA	intron_ret	None	None	1	0.211469	0.211469	11455	5902	5902	1	0.833611	0.833611
alt_region_1009	AT1G64050	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10090	AT5G66050	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10091	AT5G66055	mRNA	intron_ret	None	None	0.000007	1	0.000007	443	15386	443	0.0004	1	0.0004
alt_region_10092	AT5G66210	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10093	AT5G66210	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10094	AT5G66210	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10095	AT5G66210	mRNA	intron_ret	None	None	1	0.424741	0.424741	11455	8671	8671	1	1	1
alt_region_10096	AT5G66210	mRNA	intron_ret	None	None	1	0.049876	0.049876	11455	3066	3066	1	0.352059	0.352059
alt_region_10097	AT5G66210	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10098	AT5G66300	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10099	AT5G66310	mRNA	intron_ret	None	None	0.544449	1	0.544449	7394	15386	7394	1	1	1
alt_region_101	AT1G04080	mRNA	intron_ret	None	None	1	0.008724	0.008724	11455	1657	1657	1	0.105315	0.105315
alt_region_1010	AT1G64050	mRNA	intron_ret	None	None	1	0.905058	0.905058	11455	14300	11455	1	1	1
alt_region_10100	AT5G66320	mRNA	intron_ret	transposon_fragment	AT5TE95430	0.494943	1	0.494943	6981	15386	6981	1	1	1
alt_region_10101	AT5G66420	mRNA	intron_ret	None	None	0.000065	1	0.000065	654	15386	654	0.002438	1	0.002438
alt_region_10102	AT5G66470	mRNA	intron_ret	None	None	1	0.254324	0.254324	11455	6512	6512	1	0.915588	0.915588
alt_region_10103	AT5G66480	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10104	AT5G66480	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10105	AT5G66558	ncRNA	intron_ret	mRNA	AT5G66560	1	0.046447	0.046447	11455	2974	2974	1	0.335854	0.335854
alt_region_10106	AT5G66558	ncRNA	intron_ret	mRNA	AT5G66560	1	0.058127	0.058127	11455	3283	3283	1	0.38824	0.38824
alt_region_10107	AT5G66600	mRNA	intron_ret	None	None	1	0.270533	0.270533	11455	6731	6731	1	0.945316	0.945316
alt_region_10108	AT5G66600	mRNA	intron_ret	None	None	1	0.056636	0.056636	11455	3244	3244	1	0.381723	0.381723
alt_region_10109	AT5G66600	mRNA	intron_ret	None	None	1	0.439273	0.439273	11455	8832	8832	1	1	1
alt_region_1011	AT1G64060	mRNA	intron_ret	None	None	1	0.200398	0.200398	11455	5748	5748	1	0.81013	0.81013
alt_region_10110	AT5G66675	mRNA	intron_ret	None	None	1	0.299215	0.299215	11455	7080	7080	1	0.995807	0.995807
alt_region_10111	AT5G66675	mRNA	intron_ret	None	None	1	0.261772	0.261772	11455	6597	6597	1	0.930852	0.930852
alt_region_10112	AT5G66675	mRNA	intron_ret	None	None	1	0.587769	0.587769	11455	10500	10500	1	1	1
alt_region_10113	AT5G66900	mRNA	intron_ret	None	None	1	0.39342	0.39342	11455	8279	8279	1	1	1
alt_region_10114	AT5G66900	mRNA	intron_ret	None	None	1	0.137196	0.137196	11455	4807	4807	1	0.653892	0.653892
alt_region_10115	AT5G66900	mRNA	intron_ret	None	None	1	0.140029	0.140029	11455	4854	4854	1	0.661574	0.661574
alt_region_10116	AT5G66900	mRNA	intron_ret	None	None	1	0.059459	0.059459	11455	3325	3325	1	0.393463	0.393463
alt_region_10117	AT5G66900	mRNA	intron_ret	None	None	0.965827	1	0.965827	11185	15386	11185	1	1	1
alt_region_10118	AT5G66900	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10119	AT5G66900	mRNA	intron_ret	None	None	1	0.020778	0.020778	11455	2213	2213	1	0.193817	0.193817
alt_region_1012	AT1G64210	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10120	AT5G66900	mRNA	intron_ret	None	None	1	0.136856	0.136856	11455	4797	4797	1	0.65357	0.65357
alt_region_10121	AT5G66900	mRNA	intron_ret	None	None	1	0.051994	0.051994	11455	3122	3122	1	0.361657	0.361657
alt_region_10122	AT5G66960	mRNA	intron_ret	None	None	1	0.412117	0.412117	11455	8523	8523	1	1	1
alt_region_10123	AT5G67110	mRNA	intron_ret	None	None	0.032234	1	0.032234	2502	15386	2502	0.262239	1	0.262239
alt_region_10124	AT5G67110	mRNA	intron_ret	None	None	0.514865	1	0.514865	7150	15386	7150	1	1	1
alt_region_10125	AT5G67110	mRNA	intron_ret	None	None	1	0.862089	0.862089	11455	13766	11455	1	1	1
alt_region_10126	AT5G67110	mRNA	intron_ret	None	None	0.106175	1	0.106175	3554	15386	3554	0.564421	1	0.564421
alt_region_10127	AT5G67150	mRNA	intron_ret	None	None	1	0.323619	0.323619	11455	7425	7425	1	1	1
alt_region_10128	AT5G67250	mRNA	intron_ret	transposon_fragment	AT5TE96655:AT5TE96660	1	0.751844	0.751844	11455	12405	11455	1	1	1
alt_region_10129	AT5G67250	mRNA	intron_ret	transposon_fragment	AT5TE96655:AT5TE96660	1	0.894056	0.894056	11455	14160	11455	1	1	1
alt_region_1013	AT1G64270	mRNA	intron_ret	transposon_fragment	AT1TE78490	1	0.785543	0.785543	11455	12847	11455	1	1	1
alt_region_10130	AT5G67310	mRNA	intron_ret	mRNA	AT5G67300	1	0.931573	0.931573	11455	14621	11455	1	1	1
alt_region_10131	AT5G67310	mRNA	intron_ret	mRNA	AT5G67300	1	0.806071	0.806071	11455	13060	11455	1	1	1
alt_region_10132	AT5G67420	mRNA	intron_ret	None	None	1	0.837702	0.837702	11455	13476	11455	1	1	1
alt_region_10133	AT5G67440	mRNA	intron_ret	None	None	0.438473	1	0.438473	6513	15386	6513	1	1	1
alt_region_10134	AT5G67460	mRNA	intron_ret	None	None	0.021579	1	0.021579	2259	15386	2259	0.198654	1	0.198654
alt_region_10135	AT5G67480	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10136	AT5G67480	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10137	AT5G67610	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10138	AT5G67640	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10139	AT5G67640	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_1014	AT1G64270	mRNA	intron_ret	transposon_fragment	AT1TE78490	1	1	1	11455	15386	11455	1	1	1
alt_region_10140	AT1G01240	mRNA	exon_skip	None	None	1	0.074207	0.074207	11455	3610	3610	1	0.455395	0.455395
alt_region_10141	AT1G01290	mRNA	exon_skip	None	None	0.779875	1	0.779875	9405	15386	9405	1	1	1
alt_region_10142	AT1G01550	mRNA	exon_skip	None	None	1	0.027483	0.027483	11455	2434	2434	1	0.235891	0.235891
alt_region_10143	AT1G01710	mRNA	exon_skip	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10144	AT1G01770	mRNA	exon_skip	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10145	AT1G01790	mRNA	exon_skip	None	None	0.00003	1	0.00003	576	15386	576	0.001306	1	0.001306
alt_region_10146	AT1G01790	mRNA	exon_skip	None	None	0.52324	1	0.52324	7219	15386	7219	1	1	1
alt_region_10147	AT1G02120	mRNA	exon_skip	None	None	0.001085	1	0.001085	1107	15386	1107	0.02252	1	0.02252
alt_region_10148	AT1G02120	mRNA	exon_skip	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10149	AT1G02120	mRNA	exon_skip	None	None	1	0.033709	0.033709	11455	2636	2636	1	0.27076	0.27076
alt_region_1015	AT1G64270	mRNA	intron_ret	transposon_fragment	AT1TE78490	1	0.249679	0.249679	11455	6444	6444	1	0.907369	0.907369
alt_region_10150	AT1G02145	mRNA	exon_skip	None	None	0.466768	1	0.466768	6744	15386	6744	1	1	1
alt_region_10151	AT1G02145	mRNA	exon_skip	None	None	0.85104	1	0.85104	10072	15386	10072	1	1	1
alt_region_10152	AT1G02840	mRNA	exon_skip	None	None	0.075809	1	0.075809	3178	15386	3178	0.460532	1	0.460532
alt_region_10153	AT1G02840	mRNA	exon_skip	None	None	0.024557	1	0.024557	2339	15386	2339	0.217237	1	0.217237
alt_region_10154	AT1G02840	mRNA	exon_skip	None	None	0.055743	1	0.055743	2900	15386	2900	0.377482	1	0.377482
alt_region_10155	AT1G03090	mRNA	exon_skip	None	None	0.5204	1	0.5204	7206	15386	7206	1	1	1
alt_region_10156	AT1G03090	mRNA	exon_skip	None	None	0.475745	1	0.475745	6813	15386	6813	1	1	1
alt_region_10157	AT1G03090	mRNA	exon_skip	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10158	AT1G03280	mRNA	exon_skip	None	None	1	0.897001	0.897001	11455	14184	11455	1	1	1
alt_region_10159	AT1G03280	mRNA	exon_skip	None	None	0.059969	1	0.059969	2955	15386	2955	0.395414	1	0.395414
alt_region_1016	AT1G64310	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10160	AT1G03280	mRNA	exon_skip	None	None	0.054541	1	0.054541	2880	15386	2880	0.37232	1	0.37232
alt_region_10161	AT1G03290	mRNA	exon_skip	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10162	AT1G03290	mRNA	exon_skip	None	None	1	0.10165	0.10165	11455	4161	4161	1	0.549591	0.549591
alt_region_10163	AT1G03365	mRNA	exon_skip	None	None	1	0.627157	0.627157	11455	10959	10959	1	1	1
alt_region_10164	AT1G03770	mRNA	exon_skip	None	None	1	0.143182	0.143182	11455	4912	4912	1	0.669759	0.669759
alt_region_10165	AT1G03770	mRNA	exon_skip	None	None	1	0.140924	0.140924	11455	4871	4871	1	0.663216	0.663216
alt_region_10166	AT1G03905	mRNA	exon_skip	None	None	0.078717	1	0.078717	3214	15386	3214	0.471904	1	0.471904
alt_region_10167	AT1G03905	mRNA	exon_skip	None	None	0.107565	1	0.107565	3569	15386	3569	0.568677	1	0.568677
alt_region_10168	AT1G03910	mRNA	exon_skip	None	None	0.435686	1	0.435686	6495	15386	6495	1	1	1
alt_region_10169	AT1G03910	mRNA	exon_skip	None	None	0.582603	1	0.582603	7693	15386	7693	1	1	1
alt_region_1017	AT1G64355	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10170	AT1G03910	mRNA	exon_skip	None	None	0.009407	1	0.009407	1811	15386	1811	0.111452	1	0.111452
alt_region_10171	AT1G03910	mRNA	exon_skip	None	None	0.006789	1	0.006789	1676	15386	1676	0.08768	1	0.08768
alt_region_10172	AT1G03960	mRNA	exon_skip	None	None	0.583239	1	0.583239	7699	15386	7699	1	1	1
alt_region_10173	AT1G03960	mRNA	exon_skip	None	None	0.033132	1	0.033132	2518	15386	2518	0.267864	1	0.267864
alt_region_10174	AT1G04080	mRNA	exon_skip	None	None	0.101063	1	0.101063	3510	15386	3510	0.54713	1	0.54713
alt_region_10175	AT1G04080	mRNA	exon_skip	None	None	0.099939	1	0.099939	3496	15386	3496	0.543116	1	0.543116
alt_region_10176	AT1G04080	mRNA	exon_skip	None	None	0.003683	1	0.003683	1459	15386	1459	0.056326	1	0.056326
alt_region_10177	AT1G04080	mRNA	exon_skip	None	None	0.161204	1	0.161204	4130	15386	4130	0.719749	1	0.719749
alt_region_10178	AT1G04080	mRNA	exon_skip	None	None	0.206212	1	0.206212	4581	15386	4581	0.821699	1	0.821699
alt_region_10179	AT1G04080	mRNA	exon_skip	None	None	0.414167	1	0.414167	6341	15386	6341	1	1	1
alt_region_1018	AT1G64430	mRNA	intron_ret	None	None	1	0.000001	0.000001	11455	1	1	1	0.000077	0.000077
alt_region_10180	AT1G04080	mRNA	exon_skip	None	None	0.097431	1	0.097431	3469	15386	3469	0.534138	1	0.534138
alt_region_10181	AT1G04080	mRNA	exon_skip	None	None	0.180396	1	0.180396	4296	15386	4296	0.768777	1	0.768777
alt_region_10182	AT1G04080	mRNA	exon_skip	None	None	0.218741	1	0.218741	4693	15386	4693	0.848089	1	0.848089
alt_region_10183	AT1G04080	mRNA	exon_skip	None	None	0.015894	1	0.015894	2082	15386	2082	0.161188	1	0.161188
alt_region_10184	AT1G04080	mRNA	exon_skip	None	None	0.011279	1	0.011279	1880	15386	1880	0.127828	1	0.127828
alt_region_10185	AT1G04080	mRNA	exon_skip	None	None	0.013318	1	0.013318	1979	15386	1979	0.143378	1	0.143378
alt_region_10186	AT1G04080	mRNA	exon_skip	None	None	1	0.135174	0.135174	11455	4759	4759	1	0.649862	0.649862
alt_region_10187	AT1G04080	mRNA	exon_skip	None	None	0.01803	1	0.01803	2148	15386	2148	0.175747	1	0.175747
alt_region_10188	AT1G04080	mRNA	exon_skip	None	None	0.012711	1	0.012711	1950	15386	1950	0.13897	1	0.13897
alt_region_10189	AT1G04080	mRNA	exon_skip	None	None	0.014785	1	0.014785	2042	15386	2042	0.153668	1	0.153668
alt_region_1019	AT1G64530	mRNA	intron_ret	None	None	1	0.00454	0.00454	11455	1345	1345	1	0.065293	0.065293
alt_region_10190	AT1G04160	mRNA	exon_skip	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10191	AT1G04170	mRNA	exon_skip	None	None	0.892814	1	0.892814	10474	15386	10474	1	1	1
alt_region_10192	AT1G04210	mRNA	exon_skip	None	None	1	0.644716	0.644716	11455	11190	11190	1	1	1
alt_region_10193	AT1G04480	mRNA	exon_skip	None	None	0.730996	1	0.730996	8960	15386	8960	1	1	1
alt_region_10194	AT1G04710	mRNA	exon_skip	None	None	1	0.007549	0.007549	11455	1587	1587	1	0.094838	0.094838
alt_region_10195	AT1G04940	mRNA	exon_skip	mRNA	AT1G04945	1	1	1	11455	15386	11455	1	1	1
alt_region_10196	AT1G05000	mRNA	exon_skip	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10197	AT1G05000	mRNA	exon_skip	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10198	AT1G05000	mRNA	exon_skip	None	None	1	0.796156	0.796156	11455	12953	11455	1	1	1
alt_region_10199	AT1G05200	mRNA	exon_skip	mRNA	AT1G05205	0.802096	1	0.802096	9615	15386	9615	1	1	1
alt_region_102	AT1G04080	mRNA	intron_ret	None	None	1	0.016872	0.016872	11455	2059	2059	1	0.167714	0.167714
alt_region_1020	AT1G64540	mRNA	intron_ret	None	None	1	0.844926	0.844926	11455	13552	11455	1	1	1
alt_region_10200	AT1G05220	mRNA	exon_skip	mRNA	AT1G05230	1	0.159275	0.159275	11455	5130	5130	1	0.714647	0.714647
alt_region_10201	AT1G05320	mRNA	exon_skip	None	None	1	0.81647	0.81647	11455	13170	11455	1	1	1
alt_region_10202	AT1G05320	mRNA	exon_skip	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10203	AT1G05710	mRNA	exon_skip	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10204	AT1G05785	mRNA	exon_skip	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10205	AT1G05830	mRNA	exon_skip	None	None	0.007478	1	0.007478	1710	15386	1710	0.094192	1	0.094192
alt_region_10206	AT1G05830	mRNA	exon_skip	None	None	0.004496	1	0.004496	1534	15386	1534	0.064817	1	0.064817
alt_region_10207	AT1G05890	mRNA	exon_skip	None	None	1	0.407015	0.407015	11455	8447	8447	1	1	1
alt_region_10208	AT1G05890	mRNA	exon_skip	None	None	1	1	1	11455	15386	11455	1	1	1
